country,year,Renewable_Electricity_Output,Renewable_Energy_Consumption,EG.ELC.ACCS.ZS,GDP_Per_Capita,GDP_Growth,Year,Country,Region_Type,YoY_Change
Afghanistan,2010,85.9865470852018,15.2,42.7,562.499221552971,14.3624414710737,2010,Afghanistan,Other,
Afghanistan,2011,82.4875621890547,12.6,43.2,608.738850364613,0.426354776777345,2011,Afghanistan,Other,-3.498984896147107
Afghanistan,2012,85.9099804305284,15.4,69.1,653.417474910283,12.7522870926697,2012,Afghanistan,Other,3.422418241473707
Afghanistan,2013,78.6364080993837,16.9,68.0,638.73318101404,5.60074465863221,2013,Afghanistan,Other,-7.273572331144706
Afghanistan,2014,85.3235490326885,19.1,89.5,626.512929086139,2.72454336219565,2014,Afghanistan,Other,6.6871409333048035
Afghanistan,2015,86.0501112508465,17.7,71.5,566.881129708434,1.45131466066431,2015,Afghanistan,Other,0.7265622181579943
Afghanistan,2016,86.0501112508465,20.2,97.7,523.053011984748,2.26031420279821,2016,Afghanistan,Other,0.0
Afghanistan,2017,86.0501112508465,19.5,97.7,526.140801025756,2.6470032027451,2017,Afghanistan,Other,0.0
Afghanistan,2018,86.0501112508465,18.3,93.4,492.090630986151,1.18922812944517,2018,Afghanistan,Other,0.0
Afghanistan,2019,86.0501112508465,18.9,97.7,497.741431256813,3.91160341625552,2019,Afghanistan,Other,0.0
Afghanistan,2020,86.0501112508465,18.2,97.7,512.055098005672,-2.35110067203466,2020,Afghanistan,Other,0.0
Afghanistan,2021,86.0501112508465,20.0,97.7,355.777826392648,-2.35110067203466,2021,Afghanistan,Other,0.0
Afghanistan,2022,86.0501112508465,20.0,85.3,352.603733092107,-6.24017199240269,2022,Afghanistan,Other,0.0
Africa Eastern and Southern,2010,21.1629993280905,63.0998368387508,27.4020143563805,1622.68409299336,5.23377797192232,2010,Africa Eastern and Southern,Africa,
Africa Eastern and Southern,2011,21.3237793496936,63.1246524339127,28.9115937315653,1757.99840406352,4.06901977125888,2011,Africa Eastern and Southern,Africa,0.1607800216030988
Africa Eastern and Southern,2012,21.795825040308,61.7183967592541,31.6660384230917,1724.20405261091,1.75621020352889,2012,Africa Eastern and Southern,Africa,0.4720456906144008
Africa Eastern and Southern,2013,22.7326039395982,61.0826852828279,31.7030572419482,1696.35603961321,4.25034509905811,2013,Africa Eastern and Southern,Africa,0.9367788992902
Africa Eastern and Southern,2014,24.9665894302136,61.499576835816,31.860474023504,1678.55360976878,3.98318178416663,2014,Africa Eastern and Southern,Africa,2.2339854906153995
Africa Eastern and Southern,2015,25.6758787545077,62.1283378931582,33.9038001286462,1498.80508358802,3.01157198178016,2015,Africa Eastern and Southern,Africa,0.709289324294101
Africa Eastern and Southern,2016,25.6758787545077,62.4576883595774,38.8546244221511,1346.30128120779,2.18358078096774,2016,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2017,25.6758787545077,61.8911318801459,40.199898068195,1485.7535786147,2.65139974202668,2017,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2018,25.6758787545077,62.2426314030968,43.0171479832647,1558.61207925907,2.681718104162,2018,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2019,25.6758787545077,63.3870896989865,44.3812594428681,1508.48688648948,2.18925928385238,2019,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2020,25.6758787545077,66.1234486957514,46.2648745577187,1356.08887141531,-2.78037855183037,2020,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2021,25.6758787545077,66.1234486957514,48.100862134193,1545.95669660381,4.49737998264359,2021,Africa Eastern and Southern,Africa,0.0
Africa Eastern and Southern,2022,25.6758787545077,66.1234486957514,48.7119945935567,1642.43203899493,3.55442232938942,2022,Africa Eastern and Southern,Africa,0.0
Africa Western and Central,2010,38.5470844098241,80.9395137178094,41.8381617761297,1680.141063273,6.97060061867415,2010,Africa Western and Central,Africa,
Africa Western and Central,2011,37.7036499888252,79.5769126675124,45.9148949238898,1861.53730345913,4.8492890112086,2011,Africa Western and Central,Africa,-0.8434344209989035
Africa Western and Central,2012,36.0379350990554,78.8868764432574,44.0499000080943,1958.07740299649,5.13543221769829,2012,Africa Western and Central,Africa,-1.665714889769795
Africa Western and Central,2013,35.1638636501873,77.1379412154111,47.0584759639952,2154.31508352123,6.10661028218607,2013,Africa Western and Central,Africa,-0.8740714488681007
Africa Western and Central,2014,34.5661459313632,76.1358024948566,47.6625364866446,2248.51842565537,5.92558281954024,2014,Africa Western and Central,Africa,-0.5977177188241001
Africa Western and Central,2015,31.2335314124894,76.6891600561783,46.7587390583886,1882.51880807768,2.81397900746174,2015,Africa Western and Central,Africa,-3.332614518873804
Africa Western and Central,2016,31.2335314124894,76.2833830991289,50.906114634764,1648.92026894717,0.141488617696979,2016,Africa Western and Central,Africa,0.0
Africa Western and Central,2017,31.2335314124894,76.4130814959741,48.789457473528,1590.5557849502,2.28496137040275,2017,Africa Western and Central,Africa,0.0
Africa Western and Central,2018,31.2335314124894,75.9600298068077,51.2110549404709,1735.44583276662,2.84264500273268,2018,Africa Western and Central,Africa,0.0
Africa Western and Central,2019,31.2335314124894,75.3289283798123,51.1680826551065,1813.60914568405,3.22202851816455,2019,Africa Western and Central,Africa,0.0
Africa Western and Central,2020,31.2335314124894,76.1028186880091,51.7308990685072,1688.47087082362,-1.00441739370378,2020,Africa Western and Central,Africa,0.0
Africa Western and Central,2021,31.2335314124894,76.1028186880091,54.224724307904,1769.17185266776,3.99485439730634,2021,Africa Western and Central,Africa,0.0
Africa Western and Central,2022,31.2335314124894,76.1028186880091,55.4375772541101,1788.8753472127,3.78448567787608,2022,Africa Western and Central,Africa,0.0
Albania,2010,99.9867864693446,37.0,99.6,4094.34968570481,3.70693815255319,2010,Albania,Other,
Albania,2011,98.5922214268671,35.8,99.7,4437.14116097061,2.54540614450104,2011,Albania,Other,-1.3945650424774954
Albania,2012,100.0,39.9,99.9,4247.63134315945,1.4172427999078,2012,Albania,Other,1.4077785731329016
Albania,2013,100.0,41.1,99.9,4413.06338346821,1.00201754071108,2013,Albania,Other,0.0
Albania,2014,100.0,38.6,100.0,4578.63320812155,1.77444885260394,2014,Albania,Other,0.0
Albania,2015,100.0,38.5,100.0,3952.80357364813,2.21872637517804,2015,Albania,Other,0.0
Albania,2016,100.0,39.4,99.9,4124.05538986272,3.31498068384137,2016,Albania,Other,0.0
Albania,2017,100.0,36.9,99.9,4531.03220675893,3.80259872019053,2017,Albania,Other,0.0
Albania,2018,100.0,37.8,100.0,5287.66080067575,4.01934561695576,2018,Albania,Other,0.0
Albania,2019,100.0,40.1,100.0,5396.2142432843,2.08771199649604,2019,Albania,Other,0.0
Albania,2020,100.0,44.4,100.0,5343.0377039956,-3.30208203862541,2020,Albania,Other,0.0
Albania,2021,100.0,41.9,100.0,6377.20309553753,8.90852781831182,2021,Albania,Other,0.0
Albania,2022,100.0,41.9,100.0,6810.11404104233,4.85640165227306,2022,Albania,Other,0.0
Algeria,2010,0.380460926225565,0.3,98.9,4958.2593791361,4.80000000030061,2010,Algeria,Other,
Algeria,2011,0.980009370607528,0.2,99.0,5974.57008682611,3.0000000000326,2011,Algeria,Other,0.599548444381963
Algeria,2012,1.08368033172465,0.2,98.8,6096.09001549263,2.39999999959915,2012,Algeria,Other,0.10367096111712193
Algeria,2013,0.55101018533979,0.1,99.2,6044.67490330703,2.60000000006077,2013,Algeria,Other,-0.53267014638486
Algeria,2014,0.395379969490365,0.1,99.3,6164.64469897525,4.10000000035542,2014,Algeria,Other,-0.15563021584942494
Algeria,2015,0.322683798947644,0.1,99.4,4741.49977033558,3.19999999974922,2015,Algeria,Other,-0.07269617054272104
Algeria,2016,0.322683798947644,0.1,99.4,4481.08196153066,3.89999999992476,2016,Algeria,Other,0.0
Algeria,2017,0.322683798947644,0.1,99.5,4615.86874364885,1.5000000001012,2017,Algeria,Other,0.0
Algeria,2018,0.322683798947644,0.2,99.6,4640.31414537956,1.40000000013293,2018,Algeria,Other,0.0
Algeria,2019,0.322683798947644,0.2,99.5,4530.10174483631,0.89999999991042,2019,Algeria,Other,0.0
Algeria,2020,0.322683798947644,0.1,99.7,3794.40952448639,-5.0,2020,Algeria,Other,0.0
Algeria,2021,0.322683798947644,0.1,99.8,4216.2512851303,3.8,2021,Algeria,Other,0.0
Algeria,2022,0.322683798947644,0.1,100.0,5023.25293164928,3.60000000017391,2022,Algeria,Other,0.0
American Samoa,2010,0.0,0.0,,10446.8632062572,0.299850074962521,2010,American Samoa,Americas,
American Samoa,2011,0.0,0.0,,10495.3047320935,0.0,2011,American Samoa,Americas,0.0
American Samoa,2012,0.70242656449553,0.1,,11920.0610903131,-4.33482810164425,2012,American Samoa,Americas,0.70242656449553
American Samoa,2013,0.703140481075933,0.2,,12038.8715916596,-2.5,2013,American Samoa,Americas,0.0007139165804029846
American Samoa,2014,0.700882474752302,0.2,,12313.9973571825,1.76282051282051,2014,American Samoa,Americas,-0.0022580063236309345
American Samoa,2015,0.885478158205431,0.2,,13101.5418159165,3.14960629921259,2015,American Samoa,Americas,0.18459568345312893
American Samoa,2016,0.885478158205431,0.2,,13300.8246114811,-1.67938931297709,2016,American Samoa,Americas,0.0
American Samoa,2017,0.885478158205431,0.3,,12372.8847825647,-6.98757763975155,2017,American Samoa,Americas,0.0
American Samoa,2018,0.885478158205431,0.3,,13195.9358995539,2.6711185308848,2018,American Samoa,Americas,0.0
American Samoa,2019,0.885478158205431,0.4,,13672.576657298,-0.487804878048777,2019,American Samoa,Americas,0.0
American Samoa,2020,0.885478158205431,0.4,,15609.7772196843,4.41176470588236,2020,American Samoa,Americas,0.0
American Samoa,2021,0.885478158205431,0.4,,16653.7137781725,-0.782472613458523,2021,American Samoa,Americas,0.0
American Samoa,2022,0.885478158205431,0.4,,19673.3901023197,1.73501577287065,2022,American Samoa,Americas,0.0
