indicator,coverage,mean,std
Renewable electricity output (% of total),46.09929078014184,27.99378883311131,24.327203708682244
Renewable energy consumption (% of total),88.55116514690982,26.910662302699762,23.687723435857546
Access to electricity (% of population),98.68287740628166,85.18632744584453,21.529357296690446
Energy use (kg of oil equivalent per capita),31.20567375886525,2008.4240187268074,1876.2169279500774
Electric power consumption (kWh per capita),30.3951367781155,3074.5528618728586,3558.56557244828
Electric power transmission and distribution losses (% of output),31.712259371833838,12.161721742004298,5.962585242683981
GDP per capita (current US$),98.78419452887537,13504.519012186907,18269.42062337057
GDP growth (annual %),98.78419452887537,2.9942850587627,3.9091432151383065
PM2.5 air pollution (micrograms per cubic meter),30.091185410334347,26.316457459847346,16.79081533403193
Research and development expenditure (% of GDP),44.782168186423505,1.399919053706076,0.8600130394050014
Investment in energy with private participation (current US$),27.25430597771023,18526464122.67658,19029826270.168034
